Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
SPRB,,,39.71,,32.7601,271.43%,13.6M,557.5K,18.4M
SOPA,3.35,0.65,4.00,,3.18,125.53%,80.1M,5.1M,17.1M
AMDL,18.69,-0.85,17.84,,17.29,62.2%,39.8M,60.1M,1.0B
CRML,12.00,2.51,14.51,,12.43,55.76%,22.1M,86.2M,1.1B
ARBK,0.69,-0.01,0.68,,0.6176,47.75%,14.3M,70.0M,44.8M
LPTX,0.81,0.12,0.93,,0.7545,41.39%,13.5M,33.0M,31.6M
ONMD,1.61,0.09,1.70,,1.4201,37.87%,37.4M,26.2M,65.9M
FEMY,0.90,0.04,0.94,,0.8295,31.65%,35.5M,28.8M,27.0M
SHOT,0.46,0.02,0.48,,0.43,16.15%,40.8M,125.3M,62.2M
ONDS,11.29,0.27,11.56,,11.3494,14.52%,7.4M,201.6M,2.5B
RR,7.00,0.11,7.11,,6.9398,12.29%,12.0M,38.1M,1.0B
SOXL,43.10,1.94,45.04,,42.30,10.65%,22.5M,355.8M,15.0B
BURU,0.28,0.00,0.28,,0.2456,10.09%,59.9M,79.2M,19.6M
LITM,5.57,-0.10,5.47,,5.3483,8.27%,10.5M,7.7M,41.8M
CHR,0.19,-0.01,0.18,,0.173,7.52%,19.2M,5.0M,2.1M
TSLL,20.78,0.70,21.48,,21.0488,7.23%,26.6M,380.9M,8.0B
